STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
488250,99999, 20120904,   83.5, 5,   73.9, 5, 1009.2, 4, 1008.6, 5,   6.2, 5,   3.9, 5,   5.8, 999.9,   90.1 ,  80.6*, 0.00G,999.9, 000000,
488250,99999, 20120905,   81.6, 8,   74.3, 8, 1010.8, 8, 1009.9, 8,   5.6, 8,   3.2, 8,   5.8, 999.9,   89.1 ,  77.0*, 0.12G,999.9, 010000,
488250,99999, 20120906,   79.5, 8,   76.2, 8, 1010.7, 8, 1009.8, 8,   5.7, 8,   3.6, 8,   5.8, 999.9,   82.4 ,  77.4 , 0.82G,999.9, 010000,
488250,99999, 20120907,   79.1, 8,   76.9, 8, 1011.2, 8, 1010.3, 8,   5.3, 8,   0.7, 8,   3.9, 999.9,   81.9 ,  77.0 , 0.52G,999.9, 010000,
488250,99999, 20120908,   80.2, 8,   76.9, 8, 1011.2, 8, 1010.3, 8,   7.0, 8,   1.2, 8,   3.9, 999.9,   86.7 ,  77.2 , 0.09G,999.9, 010000,
488250,99999, 20120909,   82.9, 8,   77.7, 8, 1009.6, 8, 1008.7, 8,   7.0, 8,   3.6, 8,   5.8, 999.9,   89.8 ,  76.6 , 0.00G,999.9, 000000,
488250,99999, 20120910,   84.4, 8,   77.0, 8, 1008.9, 8, 1008.0, 8,   6.2, 8,   2.9, 8,   5.8, 999.9,   92.1 ,  77.5 , 0.00G,999.9, 000000,
488250,99999, 20120911,   85.1, 8,   77.6, 8, 1008.2, 8, 1007.3, 8,   7.0, 8,   2.9, 8,   5.8, 999.9,   92.8 ,  79.2 , 0.00G,999.9, 000000,
488250,99999, 20120912,   85.8, 8,   76.4, 8, 1007.7, 8, 1006.8, 8,  10.9, 8,   3.2, 8,   5.8, 999.9,   93.2 ,  79.5 , 0.00G,999.9, 000000,
488250,99999, 20120913,   75.9, 8,   70.1, 8, 1010.8, 8, 1009.8, 8,   6.2, 8,   6.6, 8,  11.7, 999.9,   88.2 ,  71.6*, 0.00I,999.9, 000000,
